,commands
105516,"Yeah, if you haven't seen it, then you gotta leave the water cooler."
105517,But what if I want some cooled water?
105518,You should have thought of that when you were not seeing the movie.
105519,It was so awesome when Radioactive Man had to erase his own memory.
105520,"Yeah, so he wouldn't be tortured by his past, when he was born in the future."
105521,"They're talking about the movie! Hurry up, you idiot! No, no, don't stop! I'm sorry I got mad. I'll do that thing you like."
105522,I got Radioactive Man's new villain -- the Collider.
105523,I turn out to be a good guy.
105524,"I die, but come back to life after the credits."
105525,"Sometimes we feel there's nowhere left to turn, much like Radioactive Man, when he had to kill his own antimatter twin"
105526,AMAZING GRACE / HOW LOUD I SING / TO DROWN THE SPOILERS OUT... shut up. Shut up. Shut up!
105527,"...with a blast of time particles from the Chrono-cube, and in doing so, mortally wounding his girlfriend, who was pregnant with his own grandfather."
105528,"Okay, I've gotta go see the Radioactive Man movie before it gets totally ruined for me."
105529,"Ooo, date night! I'll go change my bra!"
105530,"I wanna see ""Radioactive Man Re-Rises!"""
105531,"If Bart's going, I'm going!"
105532,"If you all go, then I have to pay for a babysitter!"
105533,We'll call that nice girl who's getting her Masters in Child Development.
105534,Emily-Beth? We can't afford Emily-Beth! She brings her own puppets!
105535,"Bye bye, Maggie!"
105536,"Bye bye, money!"
105537,"Two adults, two kids, and one senior with the mind of a baby so he should be free."
105538,"For the 3-D show, that'll be seventy-two dollars."
105539,"More snip, less lip."
105540,Homer looks upset at the high ticket prices.
105541,"Or, for ten dollars more you can see it in IMAX Hobbit Frame Rate Virtual Reality Vision."
105542,"All right, movie, you better be worth it."
105543,The motorcycle dudes are chicks!
105544,I wonder what else is chicks?
105545,Don't ask. Do smell.
105546,"Also available in ""Arctic Slut,"" ""Morning After Melon,"" and ""Elon Musk."""
105547,"Hey... they tricked us! That's a commercial! If I wanted to pay for commercials I can't skip, I'd sign up for Hulu Plus!"
105548,You're shushing me! This guy's on his cell phone! She's texting! He's sexting! And that guy brought a baby to a nine o'clock movie!
105549,"That's negative, man."
105550,"What happened to the movies? First they got worse than TV, and now this!"
105551,"Chins up, Homer. You don't need a theater to watch the movie. You just have to illegally download it."
105552,Illegally download it? Is that legal?
105553,Who knows? But it sure is easy. I'll walk you through it. All you have to do is--
105554,"The FOX network forbids the broadcast of step-by-step instructions for illegally downloading copyrighted intellectual property. In the meantime, please enjoy this footage from Nascar's 2011 Martinsville Cup."
105555,"Wow, that was easy! All I had to do was click on--"
105556,And play!
105557,"Bless you, boy. That was the greatest thing I've seen on a computer that I can talk about with you in the room. How did you know how to do that?"
105558,I'm under thirty.
105559,"Guys, guys, I saw the Radioactive Man movie! Here's my ten favorite scenes from worst to best -- number ten: when what's his name did that stuff with those dudes. Number nine--"
105560,COPYRIGHT LAW / COPYRIGHT LAW
105561,"Uh,  that movie's been talked out. We're discussing the new James Bond flick."
105562,I like that James Bond is ugly now.
105563,I like that he doesn't have any gadgets.
105564,"I like that he's not good at shooting, doesn't say funny quips, or do any James Bond stuff."
105565,Shut up shut up shut up!
105566,go to the theater and see the movie.
105567,Theaters? All I need to see this movie is a laptop and a website based in a country that's really just an offshore oil platform. Care to join me?
105568,That was so much better than the cinema. It mixes the wonder of movie-going with the rush of stealing.
105569,"All we want is brand new, big budget entertainment in our homes for nothin'! Why doesn't Hollywood get that?"
105570,"Gentlemen, I am inspired to create a theater for the people -- an experience free of all the nuisances and gouging of modern day movie-going!"
105571,"Yeah, no more jerks talking on their cell phones!"
105572,No more jerks telling me not to talk on my cell phone!
105573,And best of all... we'll never have to sit through another annoying commercial again!
105574,"Welcome to ""Cinema Pirate-diso."" Tonight's movie is ""Life is Funny,"" directed by Judd Apatow. It's based on his life, starring his family, and adlibbed by his friends. So for the next three and a half hours, enjoy!"
105575,Did you just pass gas while we were making love?
105576,You're the one who hired the Korean taco truck for our private school fundraiser!
105577,"I live it, he writes it."
105578,"Well, what'd you think?"
105579,"We may be going to hell for seeing ""side bosom,"" but this backyard is a little slice of Heaven, all thanks to Homer Simpson!"
105580,This is fun! And it was so nice of the movie company to let you show their film.
105581,"Let me? Uh, sweetheart, I downloaded it off the internet... illegally."
105582,An illegal download? But Hollywood says stealing from Hollywood is wrong.
105583,Why should a regular guy like me have to spend fifteen bucks a ticket so studios can pay huge salaries to the Air Buds and Ray Liottas of the world?
105584,"When I watched that pirated movie, I was stealing with my eyes. So I'm repaying the good people in Hollywood for the ticket I should have bought."
105585,Now this money will end up in the hands of the talented people who make magic happen on the silver screen.
105586,"Karen, get me the FBI! Karen!"
105587,You people joined this squad for one reason -- to fight movie pirates.
105588,I wanted to catch serial killers.
105589,I wanted to get serial killers.
105590,"From now on, you will lay down your lives to protect America's chick flicks, buddy comedies, and steady stream of animated misfires."
105591,"Sir, you have to see this."
105592,... took it off the web... watched for free... never pay for a movie again...!
105593,"Men, set your guns on ""kill."" We're going after Homer Simpson."
105594,"I now present, direct from the computer of an angry editor at a special effects house, ""Cosmic Wars Episode Seven""."
105595,My childhood has been un-ruined!
105596,"Listen up, seat meat! You are all in violation of Title Seventeen of the US Copyright Code."
105597,"Easy there, hotshot. All the people are doing is watchin' a movie."
105598,"Ow, ow, ow! I'm-I'm not wearing an undershirt and my badge is poking into my skin!"
105599,What's going on here? Is there a fondler in the neighborhood?
105600,I'm here to arrest and hopefully stage the prison suicide of the mastermind of this operation -- Homer Simpson!
105601,"Ooo, mastermind."
105602,You like this?
105603,"We got our man, thanks to a tip from a heroic American snitch."
105604,One of you turned me in? Who was it?
105605,"Superintendent Chalmers, you never forgave me for that time we wore the same Hawaiian shirt to that luau!"
105606,They're gonna take Dad! We gotta do something!
105607,Copyrighted material!
105608,Don't look at it!
105609,Someone sell me a ticket!
105610,Ear plugs in! Blinders on! We trained for this!
105611,"From now on, the only place you'll be watching movies without having to buy a ticket is jail."
105612,"Baby, promise me you'll find out who turned me in!"
105613,It's probably someone I would never suspect! Never suspect!
105614,Your moans of sympathy are all I have!
105615,Whoever did this will be haunted by unbearable guilt forever!
105616,What are you guys in for?
105617,Bank robbery.
105618,Drug trafficking. What about you?
105619,Movie piracy.
105620,People in show business work hard to make those movies!
105621,My media stocks under-performed because of people like you!
105622,My brother lost his job as a grip on a movie set because of piracy. He had to sell his jet ski. A grip without a jet ski ain't no grip at all!
105623,You're about to find out what we do to copyright infringers.
105624,It's almost like having Dad here. Only with less growling when I go near his food.
105625,I just want to know who dropped the dime on Dad. Lousy rat.
105626,Maybe the person that turned your father in thought they were doing the right thing.
105627,Homer just pirated a movie. It's not the worst thing Dad ever did. It's not even the worst kind of pirate Dad's ever been.
105628,"tell your brother that stealing is wrong, no matter what."
105629,I don't know. It wasn't like Dad was stealing for himself. He created this wonderful experience for the whole town. I just can't imagine anyone turning him in.
105630,Dad! Dad! You're back! You're back!
105631,Homer! What are you doing out of prison? You have to go back and give yourself up.
105632,"I can't go back to jail! There's no shampoo, just soap!"
105633,"Wait, I know one place in Springfield that doesn't care about internet piracy laws."
105634,Thanks for taking us in. Our family always appreciates asylum.
105635,This consulate is like being on Swedish soil. You're as safe here as you would be in the Skatteskrapan.
105636,Your country doesn't think illegally downloaded movies is wrong.
105637,The people of Sweden believe all movies should be shared freely.
105638,How is that not stealing?
105639,Bah! Your Hollywood studios are the real thieves -- claiming all their hit movies have lost money. I spit on their bookkeeping!
105640,"Yeah, and why don't they make a sequel to ""Taken"" where the ""Hangover"" guys get taken and the only ones that can rescue them is ""Fast and Furious."""
105641,"Oh man, I would love to pirate that."
105642,As would the proud people of Sweden.
105643,They've found us!
105644,There's only one surefire way to get fugitives out of a foreign building: blasting death metal.
105645,RESPECTIN' THE LAW / RESPECTIN' THE LAW / COPYRIGHT LAW / COPYRIGHT LAW
105646,Swedes love death metal. It reminds us of death.
105647,Damn those peace prize-giving fish-smokers!
105648,I'm so tired of being trapped in this embassy.
105649,"Consulates are regional offices, which serve the embassy in the capital."
105650,Thank you so much for sticking with me through all this. You're the greatest wife in the world.
105651,It was me! I was the one who told the FBI.
105652,You? How could you? You're my own flesh and blood!
105653,I was just trying to do the right thing! Who would have thought the authorities would use a confession against me?
105654,"Have you forgotten what you promised at our wedding -- to love and cherish, to aid and abet?"
105655,I never wanted to say funny vows!
